Date,Type,Value,Transaction Currency,Gross Amount,Currency Gross Amount,Exchange Rate,Fees,Taxes,Shares,ISIN,WKN,Ticker Symbol,Security Name,Note
2023-10-23T00:00,Buy,"1,323.35",USD,,,,0.35,0.00,70,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 5806761980 | Transaction-ID: 25384921884
2023-10-23T00:00,Buy,"1,715.98",USD,,,,0.34,0.00,68,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806718401 | Transaction-ID: 25384879225
2023-10-23T00:00,Buy,"4,363.52",USD,,,,0.19,0.00,39,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 5806739578 | Transaction-ID: 25384895912
2023-10-23T00:00,Buy,"4,896.21",USD,,,,1.11,0.00,259,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 5806761861 | Transaction-ID: 25384921632
2023-10-23T00:00,Buy,"5,299.35",USD,,,,1.05,0.00,210,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806718343 | Transaction-ID: 25384879172
2023-10-23T00:00,Buy,"8,563.96",USD,,,,2.26,0.00,453,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 5806762566 | Transaction-ID: 25384923031
2023-10-23T00:00,Buy,"9,336.35",USD,,,,1.25,0.00,370,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806718017 | Transaction-ID: 25384878534
2023-10-23T00:00,Buy,"10,094.00",USD,,,,2.00,0.00,400,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806718481 | Transaction-ID: 25384879290
2023-10-23T00:00,Buy,"15,426.48",USD,,,,4.08,0.00,816,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 5806762607 | Transaction-ID: 25384923110
2023-10-23T00:00,Buy,"29,201.98",USD,,,,1.30,0.00,261,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 5806739037 | Transaction-ID: 25384894773
2023-11-06T00:00,Buy,948.50,USD,,,,1.00,0.00,25,US45783Y8140,519070808,BUFF,INNOVATOR LADDERED ALLOCATIO,Trade-ID: 5838136134 | Transaction-ID: 25527036722
2023-11-06T00:00,Buy,"1,061.20",USD,,,,0.14,0.00,28,US45783Y8140,519070808,BUFF,INNOVATOR LADDERED ALLOCATIO,Trade-ID: 5839315671 | Transaction-ID: 25530883214
2023-11-06T00:00,Buy,"1,250.54",USD,,,,0.16,0.00,33,US45783Y8140,519070808,BUFF,INNOVATOR LADDERED ALLOCATIO,Trade-ID: 5839311582 | Transaction-ID: 25530852992
2023-11-06T00:00,Buy,"3,790.50",USD,,,,0.50,0.00,100,US45783Y8140,519070808,BUFF,INNOVATOR LADDERED ALLOCATIO,Trade-ID: 5839465976 | Transaction-ID: 25531722542
2023-11-06T00:00,Buy,"11,370.62",USD,,,,0.62,0.00,300,US45783Y8140,519070808,BUFF,INNOVATOR LADDERED ALLOCATIO,Trade-ID: 5838976534 | Transaction-ID: 25529565133
2023-11-06T00:00,Buy,"20,000.00",USD,,,,0.00,0.00,"2,328.289",US92647P6390,212175478,CBHAX,Victory Capital VICTORY MARKET NEUTRAL INCOME FD A,Trade-ID: 5839853046 | Transaction-ID: 25533460633
2023-11-06T00:00,Buy,"30,000.00",USD,,,,0.00,0.00,"2,199.413",US0919277980,141154881,BRBCX,Blackrock Funds BR Tactical Opportunities - Investor C,Trade-ID: 5839851439 | Transaction-ID: 25533460508
2023-11-06T00:00,Buy,"30,324.00",USD,,,,4.00,0.00,800,US45783Y8140,519070808,BUFF,INNOVATOR LADDERED ALLOCATIO,Trade-ID: 5838976547 | Transaction-ID: 25529565135
2023-11-06T00:00,Buy,"50,000.00",USD,,,,0.00,0.00,"5,154.639",US09260C2089,335839009,BMBCX,Blackrock Funds BR Systematic Multi-Strategy  - C,Trade-ID: 5839851362 | Transaction-ID: 25533460475
2023-11-06T00:00,Buy,"160,000.00",USD,,,,0.00,0.00,"3,772.695",US5529838840,141156595,MRGAX,MFS Investment Management MFS CORE EQUITY FUND-A,Trade-ID: 5839852443 | Transaction-ID: 25533460577
2023-11-22T00:00,Buy,40.45,USD,,,,0.00,0.00,4.72,US92647P6390,212175478,CBHAX,Victory Capital VICTORY MARKET NEUTRAL INCOME FD A,Trade-ID: 5872699613 | Transaction-ID: 25685963966
2023-11-30T00:00,Buy,79.40,USD,,,,0.08,0.00,4,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 5885748534 | Transaction-ID: 25752337827
2023-12-13T00:00,Buy,"1,110.44",USD,,,,0.00,0.00,25.18,US5529838840,141156595,MRGAX,MFS Investment Management MFS CORE EQUITY FUND-A,Trade-ID: 5916867157 | Transaction-ID: 25895472176
